Date,Firm,Strategist,Stock Allocation %
1998-04-09,Merrill Lynch,Charles Clough,40.0
1998-04-09,Morgan Stanley,Peter Canelo,75.0
1998-04-09,PaineWebber,Ed Kerschner,57.0
1998-04-09,Prudential,Greg Smith,60.0
1998-04-09,Salomon SB,Committee,60.0
1998-04-09,UBS,Gail Dudack,45.0
1998-04-09,Wheat First,Don Hays,53.0
1998-04-17,A.G. Edwards,Ray Worseck,60.0
1998-04-17,Bear Stearns,Liz Mackay,55.0
1998-04-17,CIBC,Michael Metz,25.0
1998-04-17,Credit Suisse,Christine Callies,60.0
1998-04-17,DLJ,Thomas Galvin,65.0
1998-04-17,Goldman Sachs,Abby Joseph Cohen,65.0
1998-04-17,JPMorgan,Douglas Cliggott,60.0
1998-04-17,Lehman,Jeffrey Applegate,75.0
1998-04-17,Merrill Lynch,Charles Clough,40.0
1998-04-17,Morgan Stanley,Peter Canelo,75.0
1998-04-17,PaineWebber,Ed Kerschner,57.0
1998-04-17,Prudential,Greg Smith,60.0
1998-04-17,Salomon SB,Committee,60.0
1998-04-17,UBS,Gail Dudack,45.0
1998-04-17,Wheat First,Don Hays,53.0
1998-04-24,A.G. Edwards,Ray Worseck,60.0
1998-04-24,Bear Stearns,Liz Mackay,55.0
1998-04-24,CIBC,Michael Metz,25.0
1998-04-24,Credit Suisse,Christine Callies,60.0
1998-04-24,DLJ,Thomas Galvin,65.0
1998-04-24,Goldman Sachs,Abby Joseph Cohen,65.0
1998-04-24,JPMorgan,Douglas Cliggott,50.0
1998-04-24,Lehman,Jeffrey Applegate,75.0
1998-04-24,Merrill Lynch,Charles Clough,40.0
1998-04-24,Morgan Stanley,Peter Canelo,75.0
1998-04-24,PaineWebber,Ed Kerschner,56.0
1998-04-24,Prudential,Greg Smith,60.0
1998-04-24,Salomon SB,Committee,60.0
1998-04-24,UBS,Gail Dudack,45.0
1998-04-24,Wheat First,Don Hays,53.0
1998-05-01,A.G. Edwards,Ray Worseck,60.0
1998-05-01,Bear Stearns,Liz Mackay,55.0
1998-05-01,CIBC,Michael Metz,25.0
1998-05-01,Credit Suisse,Christine Callies,60.0
1998-05-01,DLJ,Thomas Galvin,65.0
1998-05-01,Goldman Sachs,Abby Joseph Cohen,65.0
1998-05-01,JPMorgan,Douglas Cliggott,50.0
1998-05-01,Lehman,Jeffrey Applegate,75.0
1998-05-01,Merrill Lynch,Charles Clough,40.0
1998-05-01,Morgan Stanley,Peter Canelo,75.0
1998-05-01,PaineWebber,Ed Kerschner,57.0
1998-05-01,Prudential,Greg Smith,60.0
1998-05-01,Salomon SB,Committee,60.0
1998-05-01,UBS,Gail Dudack,45.0
1998-05-01,Wheat First,Don Hays,53.0
1998-05-08,A.G. Edwards,Ray Worseck,60.0
1998-05-08,Bear Stearns,Liz Mackay,55.0
1998-05-08,Credit Suisse,Christine Callies,60.0
1998-05-08,DLJ,Thomas Galvin,65.0
1998-05-08,Goldman Sachs,Abby Joseph Cohen,65.0
1998-05-08,JPMorgan,Douglas Cliggott,50.0
1998-05-08,Lehman,Jeffrey Applegate,75.0
1998-05-08,Merrill Lynch,Charles Clough,40.0
1998-05-08,Morgan Stanley,Peter Canelo,75.0
1998-05-08,PaineWebber,Ed Kerschner,57.0
1998-05-08,Prudential,Greg Smith,60.0
1998-05-08,Salomon SB,Committee,60.0
1998-05-08,UBS,Gail Dudack,45.0
1998-05-08,Wheat First,Don Hays,53.0
1998-05-22,A.G. Edwards,Ray Worseck,60.0
1998-05-22,Bear Stearns,Liz Mackay,55.0
1998-05-22,Credit Suisse,Christine Callies,60.0
1998-05-22,DLJ,Thomas Galvin,65.0
1998-05-22,Goldman Sachs,Abby Joseph Cohen,65.0
1998-05-22,JPMorgan,Douglas Cliggott,50.0
1998-05-22,Lehman,Jeffrey Applegate,75.0
1998-05-22,Merrill Lynch,Charles Clough,40.0
1998-05-22,Morgan Stanley,Peter Canelo,75.0
1998-05-22,PaineWebber,Ed Kerschner,56.0
1998-05-22,Prudential,Greg Smith,60.0
1998-05-22,Salomon SB,Committee,60.0
1998-05-22,UBS,Gail Dudack,55.0
1998-05-22,Wheat First,Don Hays,53.0
1998-05-29,A.G. Edwards,Ray Worseck,60.0
1998-05-29,Bear Stearns,Liz Mackay,55.0
1998-05-29,Credit Suisse,Christine Callies,60.0
1998-05-29,DLJ,Thomas Galvin,65.0
1998-05-29,Goldman Sachs,Abby Joseph Cohen,65.0
1998-05-29,JPMorgan,Douglas Cliggott,50.0
1998-05-29,Lehman,Jeffrey Applegate,75.0
1998-05-29,Merrill Lynch,Charles Clough,40.0
1998-05-29,Morgan Stanley,Peter Canelo,75.0
1998-05-29,PaineWebber,Ed Kerschner,57.0
1998-05-29,Prudential,Greg Smith,60.0
1998-05-29,Salomon SB,Committee,60.0
1998-05-29,UBS,Gail Dudack,45.0
1998-05-29,Wheat First,Don Hays,53.0
1998-06-05,A.G. Edwards,Ray Worseck,60.0
1998-06-05,Bear Stearns,Liz Mackay,55.0
1998-06-05,Credit Suisse,Christine Callies,60.0
1998-06-05,DLJ,Thomas Galvin,65.0
1998-06-05,Goldman Sachs,Abby Joseph Cohen,65.0
1998-06-05,JPMorgan,Douglas Cliggott,50.0
1998-06-05,Lehman,Jeffrey Applegate,75.0
1998-06-05,Merrill Lynch,Charles Clough,40.0
1998-06-05,Morgan Stanley,Peter Canelo,75.0
1998-06-05,PaineWebber,Ed Kerschner,57.0
1998-06-05,Prudential,Greg Smith,60.0
1998-06-05,Salomon SB,Committee,60.0
1998-06-05,UBS,Gail Dudack,45.0
1998-06-05,Wheat First,Don Hays,53.0
1998-06-12,A.G. Edwards,Ray Worseck,60.0
1998-06-12,Bear Stearns,Liz Mackay,55.0
1998-06-12,Credit Suisse,Christine Callies,60.0
1998-06-12,DLJ,Thomas Galvin,65.0
1998-06-12,Goldman Sachs,Abby Joseph Cohen,65.0
1998-06-12,JPMorgan,Douglas Cliggott,50.0
1998-06-12,Merrill Lynch,Charles Clough,40.0
1998-06-12,Morgan Stanley,Peter Canelo,75.0
1998-06-12,PaineWebber,Ed Kerschner,58.0
1998-06-12,Prudential,Greg Smith,65.0
1998-06-12,Salomon SB,Committee,60.0
1998-06-12,UBS,Gail Dudack,45.0
1998-06-12,Wheat First,Don Hays,53.0
1998-06-19,A.G. Edwards,Ray Worseck,60.0
1998-06-19,Credit Suisse,Christine Callies,60.0
1998-06-19,DLJ,Thomas Galvin,65.0
1998-06-19,Goldman Sachs,Abby Joseph Cohen,65.0
1998-06-19,JPMorgan,Douglas Cliggott,50.0
1998-06-19,Lehman,Jeffrey Applegate,75.0
1998-06-19,Merrill Lynch,Charles Clough,40.0
1998-06-19,Morgan Stanley,Peter Canelo,75.0
1998-06-19,PaineWebber,Ed Kerschner,58.0
1998-06-19,Prudential,Greg Smith,65.0
1998-06-19,Salomon SB,Committee,60.0
1998-06-19,UBS,Gail Dudack,45.0
1998-06-19,Wheat First,Don Hays,53.0
1998-06-26,A.G. Edwards,Ray Worseck,60.0
1998-06-26,Bear Stearns,Liz Mackay,55.0
1998-06-26,Credit Suisse,Christine Callies,60.0
1998-06-26,DLJ,Thomas Galvin,65.0
1998-06-26,Goldman Sachs,Abby Joseph Cohen,65.0
1998-06-26,JPMorgan,Douglas Cliggott,50.0
