Date,Firm,Strategist,Stock Allocation %,2002 Close
2002-04-05,CSFB,Thomas Galvin,70.0,1375.0
2002-04-05,Deutsche Bank,,,
2002-04-05,First Union,Rod Smyth,85.0,1300.0
2002-04-05,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-04-05,JPMorgan,,50.0,950.0
2002-04-05,Lehman,Jeffrey Applegate,80.0,1350.0
2002-04-05,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-04-05,Morgan Stanley,Steve Galbraith,70.0,
2002-04-05,Prudential,Committee,80.0,
2002-04-05,Salomon SB,Committee,75.0,1325.0
2002-04-05,UBS,Ed Kerschner,77.0,1360.0
2002-04-12,Bank of America,Thomas McManus,50.0,1200.0
2002-04-12,Bear Stearns,,,
2002-04-12,CIBC,Subodh Kumar,75.0,1450.0
2002-04-12,CSFB,Thomas Galvin,70.0,1375.0
2002-04-12,Deutsche Bank,,,
2002-04-12,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-04-12,JPMorgan,,50.0,950.0
2002-04-12,Lehman,Jeffrey Applegate,80.0,1350.0
2002-04-12,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-04-12,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-04-12,Prudential,Committee,80.0,
2002-04-12,Salomon SB,Committee,75.0,1325.0
2002-04-12,UBS,Ed Kerschner,77.0,1360.0
2002-04-12,Wachovia,Rod Smyth,85.0,1300.0
2002-04-19,Bank of America,Thomas McManus,50.0,1200.0
2002-04-19,Bear Stearns,,,
2002-04-19,CIBC,Subodh Kumar,75.0,1450.0
2002-04-19,CSFB,Thomas Galvin,70.0,1375.0
2002-04-19,Deutsche Bank,,,
2002-04-19,Goldman Sachs,Abby Joseph Cohen,75.0,1362.0
2002-04-19,JPMorgan,,50.0,950.0
2002-04-19,Lehman,Jeffrey Applegate,80.0,1350.0
2002-04-19,Merrill Lynch,Richard Bernstein,50.0,1200.0
2002-04-19,Morgan Stanley,Steve Galbraith,70.0,1225.0
2002-04-19,Prudential,Committee,70.0,
2002-04-19,Salomon SB,Committee,75.0,1325.0
2002-04-19,UBS,Ed Kerschner,77.0,1360.0
2002-04-19,Wachovia,Rod Smyth,85.0,1300.0
2002-04-26,Bank of America,Thomas McManus,50.0,1200.0
2002-04-26,Bear Stearns,,,
