Date,Firm,Strategist,Stock Allocation %,2001 Close
2001-11-30,Merrill Lynch,Christine Callies,70.0,
2001-11-30,Morgan Stanley,Steve Galbraith,75.0,
2001-11-30,Prudential,Greg Smith,55.0,1050.0
2001-11-30,Salomon SB,Committee,70.0,
2001-11-30,UBS,Ed Kerschner,84.0,
2001-12-07,Bank of America,Thomas McManus,60.0,
2001-12-07,Bear Stearns,,,
2001-12-07,CIBC,Subodh Kumar,75.0,
2001-12-07,CSFB,Thomas Galvin,70.0,
2001-12-07,Deutsche Bank,Ed Yardeni,80.0,
2001-12-07,First Union,Rod Smyth,74.0,
2001-12-07,Goldman Sachs,Abby Joseph Cohen,75.0,
2001-12-07,JPMorgan,Douglas Cliggott,50.0,
2001-12-07,Lehman,Jeffrey Applegate,80.0,
2001-12-07,Merrill Lynch,Richard Bernstein,60.0,
2001-12-07,Morgan Stanley,Steve Galbraith,75.0,
2001-12-07,Prudential,Greg Smith,55.0,1050.0
2001-12-07,Salomon SB,Committee,70.0,
2001-12-07,UBS,Ed Kerschner,80.0,
2001-12-14,Bank of America,Thomas McManus,55.0,
2001-12-14,Bear Stearns,,,
2001-12-14,CIBC,Subodh Kumar,75.0,
2001-12-14,CSFB,Thomas Galvin,70.0,
2001-12-14,Deutsche Bank,Ed Yardeni,80.0,
2001-12-14,First Union,Rod Smyth,74.0,
2001-12-14,Goldman Sachs,Abby Joseph Cohen,75.0,
2001-12-14,JPMorgan,Douglas Cliggott,50.0,
2001-12-14,Lehman,Jeffrey Applegate,80.0,
2001-12-14,Merrill Lynch,Richard Bernstein,60.0,
2001-12-14,Morgan Stanley,Steve Galbraith,75.0,
2001-12-14,Prudential,Greg Smith,55.0,1050.0
2001-12-14,Salomon SB,Committee,70.0,
2001-12-14,UBS,Ed Kerschner,80.0,
2001-12-21,Bank of America,Thomas McManus,55.0,
2001-12-21,Bear Stearns,,,
2001-12-21,CIBC,Subodh Kumar,75.0,
2001-12-21,CSFB,Thomas Galvin,70.0,
2001-12-21,Deutsche Bank,Ed Yardeni,80.0,
2001-12-21,First Union,Rod Smyth,74.0,
2001-12-21,Goldman Sachs,Abby Joseph Cohen,75.0,
2001-12-21,JPMorgan,Douglas Cliggott,50.0,
2001-12-21,Lehman,Jeffrey Applegate,80.0,
2001-12-21,Merrill Lynch,Richard Bernstein,60.0,
2001-12-21,Morgan Stanley,Steve Galbraith,75.0,
2001-12-21,Prudential,Greg Smith,55.0,1050.0
2001-12-21,Salomon SB,Committee,70.0,
2001-12-21,UBS,Ed Kerschner,80.0,
2001-12-31,Bank of America,Thomas McManus,55.0,
2001-12-31,Bear Stearns,,,
2001-12-31,CIBC,Subodh Kumar,75.0,
2001-12-31,CSFB,Thomas Galvin,70.0,
2001-12-31,Deutsche Bank,Ed Yardeni,80.0,
2001-12-31,First Union,Rod Smyth,74.0,
2001-12-31,Goldman Sachs,Abby Joseph Cohen,75.0,
2001-12-31,JPMorgan,Douglas Cliggott,50.0,
2001-12-31,Lehman,Jeffrey Applegate,80.0,
2001-12-31,Merrill Lynch,Richard Bernstein,60.0,
2001-12-31,Morgan Stanley,Steve Galbraith,70.0,1250.0
2001-12-31,Prudential,Greg Smith,55.0,
2001-12-31,Salomon SB,Committee,70.0,
2001-12-31,UBS,Ed Kerschner,80.0,
