,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
49,Lynn Thomasson,2009-01-29,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
50,Lynn Thomasson,2009-01-29,Deutsche Bank,Binky Chadha,,1140.0,64.5,,,
51,Lynn Thomasson,2009-01-29,Goldman Sachs,David Kostin,,1100.0,53.0,,,
52,Lynn Thomasson,2009-01-29,HSBC,Kevin Gardiner,,1000.0,,,,
53,Lynn Thomasson,2009-01-29,JPMorgan,Thomas Lee,,1100.0,65.0,,,
54,Lynn Thomasson,2009-01-29,Morgan Stanley,,,,,,,
55,Lynn Thomasson,2009-01-29,RBC,Myles Zyblock,,1050.0,63.0,,,
56,Lynn Thomasson,2009-01-29,UBS,David Bianco,,1300.0,63.0,,,
67,Lynn Thomasson,2009-02-02,Bank of America,Richard Bernstein,,975.0,42.0,,,
68,Lynn Thomasson,2009-02-02,Barclays,Barry Knapp,,874.0,46.0,,,
69,Lynn Thomasson,2009-02-02,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
70,Lynn Thomasson,2009-02-02,Credit Suisse,Andrew Garthwaite,,1050.0,,,,
71,Lynn Thomasson,2009-02-02,Deutsche Bank,Binky Chadha,,1140.0,64.5,,,
72,Lynn Thomasson,2009-02-02,Goldman Sachs,David Kostin,,1100.0,53.0,,,
73,Lynn Thomasson,2009-02-02,HSBC,Kevin Gardiner,,1000.0,,,,
74,Lynn Thomasson,2009-02-02,JPMorgan,Thomas Lee,,1100.0,65.0,,,
75,Lynn Thomasson,2009-02-02,Morgan Stanley,,,,,,,
76,Lynn Thomasson,2009-02-02,RBC,Myles Zyblock,,1050.0,63.0,,,
77,Lynn Thomasson,2009-02-02,UBS,David Bianco,,1300.0,63.0,,,
78,Lynn Thomasson,2009-02-13,Bank of America,Richard Bernstein,50.0,975.0,42.0,,,50.0
79,Lynn Thomasson,2009-02-13,Barclays,Barry Knapp,,874.0,46.0,,,
80,Lynn Thomasson,2009-02-13,Citigroup,Tobias Levkovich,,1000.0,62.0,,,
